verb,telicity,perfectivity,iterativity,mannspec,part1,part2,part3,part4,part5,part6,part7,part8,part9,part10,part11,part12,part13,part14,part15,part16,part17,part18,part19,part20,part21,part22,part23,part24,part25,part26,part27,part28,part29,part30
fumare,atelic,perf,iter,nospec,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7
guardare,atelic,imperf,noiter,nospec,5,3,7,3,6,6,5,7,6,7,4,6,7,7,5,6,7,6,6,6,7,7,5,6,6,6,7,5,5,5
guardare,atelic,imperf,iter,nospec,1,6,7,4,4,7,7,6,4,7,4,6,4,7,5,6,7,7,7,6,7,7,5,6,6,7,7,5,6,5
guardare,atelic,perf,noiter,nospec,2,7,4,4,6,3,6,7,1,7,7,7,5,6,6,6,7,5,6,7,5,7,3,6,6,7,7,5,5,6
guardare,atelic,perf,iter,nospec,5,3,7,4,7,5,7,7,1,7,4,6,1,6,6,5,7,5,6,4,7,7,2,7,6,6,7,5,7,7
insegnare,atelic,imperf,noiter,nospec,3,6,7,5,6,6,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,6,7,7,7,7,6,7,5
insegnare,atelic,imperf,iter,nospec,7,6,7,6,7,7,7,7,6,7,5,7,6,7,5,6,7,7,7,7,7,7,6,5,7,7,7,5,7,5
insegnare,atelic,perf,noiter,nospec,6,1,7,3,6,4,7,7,6,7,4,7,3,7,6,6,5,4,6,7,6,7,5,7,7,6,7,3,5,5
insegnare,atelic,perf,iter,nospec,6,4,7,4,6,5,7,7,7,7,4,2,5,6,5,6,7,5,6,6,7,7,3,6,6,6,2,6,2,5
lavare,atelic,imperf,noiter,spec,6,7,7,5,7,6,7,7,2,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,4
lavare,atelic,imperf,iter,spec,6,7,7,3,7,7,7,7,4,7,7,7,4,6,6,6,6,5,6,7,7,7,1,4,6,6,6,7,7,6
lavare,atelic,perf,noiter,spec,7,6,7,4,4,5,7,6,6,7,4,7,4,7,6,5,7,5,6,7,7,7,7,7,7,6,7,6,3,4
lavare,atelic,perf,iter,spec,6,7,1,3,7,6,7,5,6,7,6,6,3,7,5,3,6,6,6,7,7,7,5,5,6,6,7,6,7,6
lucidare,atelic,imperf,noiter,spec,7,6,7,7,6,4,6,3,7,6,7,7,2,7,6,6,6,5,6,6,6,7,6,7,7,7,7,7,5,5
lucidare,atelic,imperf,iter,spec,5,6,1,7,7,5,7,3,5,7,7,6,3,7,6,5,6,5,6,7,7,7,6,6,7,7,7,7,6,5
lucidare,atelic,perf,noiter,spec,6,4,1,7,4,6,6,3,6,6,6,4,1,7,5,5,7,6,6,6,7,7,3,5,6,6,7,7,6,5
lucidare,atelic,perf,iter,spec,5,2,1,5,6,7,7,4,6,7,5,1,3,6,6,6,5,7,6,7,6,1,2,3,6,6,7,5,7,6
mangiare,atelic,imperf,noiter,nospec,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,6,7,7,7,7,7,7,7
mangiare,atelic,imperf,iter,nospec,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7
mangiare,atelic,perf,noiter,nospec,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,6,6,6,6,7,6,7,7,7,7,7,7,7,7,7
mangiare,atelic,perf,iter,nospec,7,7,7,7,7,7,7,4,6,7,7,7,7,7,6,5,7,7,7,7,7,7,1,7,7,7,7,7,7,5
pulire,atelic,imperf,noiter,nospec,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6
pulire,atelic,imperf,iter,nospec,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,7
pulire,atelic,perf,noiter,nospec,7,7,1,7,7,6,7,6,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,4
pulire,atelic,perf,iter,nospec,7,6,7,7,7,6,7,6,7,7,7,7,7,7,7,6,7,6,6,7,7,7,6,6,7,7,7,7,7,5
ricamare,atelic,imperf,noiter,spec,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,4
ricamare,atelic,imperf,iter,spec,7,7,7,7,7,5,7,5,7,7,6,7,7,6,5,6,6,5,6,7,7,7,7,7,7,7,7,7,6,6
ricamare,atelic,perf,noiter,spec,5,4,7,7,6,7,7,4,7,7,3,7,5,7,6,6,7,7,6,7,7,7,6,7,7,7,7,7,6,7
ricamare,atelic,perf,iter,spec,7,6,7,7,6,7,7,4,6,7,4,6,4,7,6,6,6,7,6,7,7,7,6,6,7,7,7,6,5,5
rompere,telic,imperf,noiter,nospec,6,4,4,6,3,6,4,5,6,5,4,3,3,6,6,6,6,6,6,6,7,7,5,4,6,6,7,6,3,5
rompere,telic,imperf,iter,nospec,6,2,5,5,4,5,6,6,2,6,4,1,2,6,7,6,7,5,6,7,7,7,5,2,6,6,4,5,3,4
rompere,telic,perf,noiter,nospec,7,6,4,6,4,5,6,5,1,7,3,1,1,6,6,6,6,5,6,6,7,7,6,5,7,5,5,5,2,5
rompere,telic,perf,iter,nospec,6,4,1,6,2,5,7,4,6,5,4,1,1,6,6,6,6,5,5,6,7,7,6,6,6,6,5,5,3,4
rubare,telic,imperf,noiter,nospec,4,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,5
rubare,telic,imperf,iter,nospec,7,7,7,7,6,7,7,7,6,7,7,7,7,7,6,5,6,7,7,7,7,6,5,7,7,7,7,7,7,5
rubare,telic,perf,noiter,nospec,6,7,7,3,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,7,7,7,6,7,7,5,7,7,5
rubare,telic,perf,iter,nospec,6,7,7,5,7,7,7,7,6,7,7,6,7,7,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7
scarabocchiare,atelic,imperf,noiter,spec,7,7,7,5,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,6,4,6,7,7,7,7,5
scarabocchiare,atelic,imperf,iter,spec,7,7,7,5,7,7,7,7,7,7,7,7,7,6,5,6,6,7,7,7,7,7,7,6,6,7,7,6,7,5
scarabocchiare,atelic,perf,noiter,spec,5,7,7,3,7,6,7,7,4,7,4,4,1,7,7,5,5,6,7,7,7,7,7,5,7,7,7,7,5,6
scarabocchiare,atelic,perf,iter,spec,3,7,7,3,6,7,7,7,6,7,7,5,7,7,5,5,6,7,7,7,6,7,6,5,6,7,7,7,7,5
scrivere,atelic,imperf,noiter,nospec,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,4
scrivere,atelic,imperf,iter,nospec,7,6,7,6,6,7,7,7,7,7,6,7,7,7,6,6,6,7,6,7,7,7,7,6,7,7,7,5,7,6
scrivere,atelic,perf,noiter,nospec,4,6,6,6,7,5,6,7,7,6,4,4,3,7,7,5,6,5,7,7,5,7,7,6,7,7,7,5,7,7
scrivere,atelic,perf,iter,nospec,6,6,7,6,6,7,7,7,7,7,7,6,7,7,6,6,6,7,6,7,7,7,6,5,7,7,7,5,7,7
sorseggiare,atelic,imperf,noiter,spec,4,6,1,4,5,6,6,5,7,7,4,4,2,7,7,6,6,6,6,6,7,7,7,6,7,7,7,3,6,7
sorseggiare,atelic,imperf,iter,spec,2,6,5,4,4,7,7,5,6,7,4,2,2,6,6,5,6,7,6,7,7,7,3,4,6,7,7,7,6,5
sorseggiare,atelic,perf,noiter,spec,3,6,1,4,5,2,6,5,1,6,4,7,1,7,7,5,7,2,6,5,7,7,6,6,6,6,7,3,2,7
sorseggiare,atelic,perf,iter,spec,2,6,6,4,6,7,6,5,5,6,4,5,2,6,6,6,6,7,7,2,7,7,2,5,6,6,7,6,4,6
spaccare,telic,imperf,noiter,spec,6,2,4,4,5,5,5,3,7,5,3,1,1,7,6,6,6,5,5,6,7,7,4,6,7,6,5,5,2,5
spaccare,telic,imperf,iter,spec,4,1,1,4,4,4,5,5,5,5,4,1,1,6,7,6,6,4,6,6,7,5,2,6,6,6,2,5,3,6
spaccare,telic,perf,noiter,spec,6,1,1,4,5,4,5,2,3,5,4,1,1,6,6,6,5,4,5,6,7,7,1,2,6,6,3,5,3,5
spaccare,telic,perf,iter,spec,7,1,1,4,4,6,5,5,7,5,4,1,1,6,6,6,6,6,6,6,6,6,4,2,6,6,2,5,4,5
tagliare,atelic,imperf,noiter,nospec,6,2,7,3,7,5,5,6,7,6,4,2,1,7,7,6,6,5,6,7,7,7,1,5,7,6,7,5,6,7
tagliare,atelic,imperf,iter,nospec,7,5,7,2,6,7,6,6,2,6,4,4,2,6,5,6,6,7,6,7,7,7,3,6,6,6,7,5,7,7
tagliare,atelic,perf,noiter,nospec,5,1,1,3,4,4,6,6,7,6,4,4,1,6,5,5,7,5,6,7,7,7,6,5,6,6,7,5,5,4
tagliare,atelic,perf,iter,nospec,6,3,1,3,4,7,5,7,4,7,4,5,1,6,6,6,5,5,6,6,7,7,5,5,6,6,7,3,5,6
trangugiare,telic,imperf,noiter,spec,2,5,1,3,4,6,4,5,7,6,4,1,2,7,5,6,6,6,6,5,7,7,5,3,6,6,3,7,4,5
trangugiare,telic,imperf,iter,spec,3,7,6,6,7,7,5,6,5,6,4,1,2,7,7,5,6,7,6,4,7,7,2,3,6,6,4,3,4,4
trangugiare,telic,perf,noiter,spec,1,2,1,4,3,6,4,5,1,5,3,1,1,7,5,4,6,6,5,7,7,6,1,5,6,6,7,7,4,4
trangugiare,telic,perf,iter,spec,3,4,7,4,4,5,5,6,4,6,3,1,1,6,6,6,5,5,6,6,6,7,5,4,6,6,4,7,4,5
uccidere,telic,imperf,noiter,nospec,4,4,4,4,7,4,7,5,6,5,4,4,3,7,6,6,7,4,6,6,7,6,6,7,7,6,7,7,6,7
uccidere,telic,imperf,iter,nospec,6,4,5,5,7,6,7,7,6,6,7,7,2,6,6,7,6,6,6,6,7,3,6,7,7,6,7,5,7,6
uccidere,telic,perf,noiter,nospec,3,5,7,4,7,6,7,6,2,6,4,7,7,7,6,4,5,6,5,7,7,7,7,6,6,6,7,7,6,7
uccidere,telic,perf,iter,nospec,7,7,7,6,7,7,7,6,7,6,7,7,7,7,6,4,6,6,5,7,6,6,7,7,6,7,7,7,7,7
versare,atelic,imperf,noiter,nospec,2,1,1,4,7,6,5,6,2,5,3,3,1,5,6,7,2,6,5,3,7,3,7,5,6,6,7,7,6,6
versare,atelic,imperf,iter,nospec,2,3,7,2,3,7,6,4,6,6,3,1,1,6,6,6,6,7,6,5,7,7,4,4,6,6,7,5,6,5
versare,atelic,perf,noiter,nospec,2,1,6,3,1,6,5,4,2,5,4,1,1,6,5,6,4,6,5,2,7,7,2,4,6,6,7,5,1,4
versare,atelic,perf,iter,nospec,1,1,5,4,4,5,6,6,5,6,3,1,2,6,6,6,3,5,6,6,4,3,3,5,6,6,7,3,5,4
